name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_atسوق مركز كركوك الشعبي,مركز المدينة، 12 جسر مشاة الشهداء، كركوك،,,,113.0,4.1,سوق, · يغلق عند الساعة ٧ م
سوق قيصرية كركوك,F99X+23C، Bulak Mehelasi، كركوك،، كركوك,,,34.0,4.3,بازار, · يغلق عند الساعة ٧ م
Shaho Market,"F9FG+94W, Kirkuk, Kirkuk Governorate",,,43.0,3.4,سوق, · يغلق عند الساعة ٨ م
شۆ مارکێت show market,Eskan sho Market، كركوك، كركوك محافظة، 36001,,,1.0,5.0,سوق,
أسواق سلام,كركوك، كركوك محافظة، 36001,,0770 371 4952,30.0,4.1,سوق, · يغلق عند الساعة ١ ص
Sarbast market,"G93W+7HF, Unnamed Road, Kirkuk",,0751 011 2535,8.0,4.8,سوق,
Ritage Markets,C9XM+7PF، كركوك، كركوك محافظة,,0770 373 1928,16.0,4.4,سوق, · يغلق عند الساعة ١١ م
بازاڕی حەسیرەکە / سوق الحصير,FCF4+69V، كركوك، كركوك محافظة,,,405.0,4.1,سوق, · يغلق عند الساعة ١٢ ص
Market Abdulrahman,"F9HX+QH4, Unnamed Rd, Kirkuk, Kirkuk Governorate",,,,,سوق,
Market Abdulrahman,"F9HX+QH4, Unnamed Rd, Kirkuk, Kirkuk Governorate",,,,,سوق,
Market Aeman,"Kirkuk Street, Kirkuk, Kirkuk Governorate",,,,,سوق,
ماركت نبع الجنة,F93P+5M5، طريق كورنيش خلف، كركوك، كركوك محافظة,facebook.com,,98.0,4.0,مركز تسوق, · يغلق عند الساعة ١١ م
سوق القلعة العصري,"موقف باصات راس الجسر, Shari Al Malik Ghazi، كركوك، كركوك محافظة",,,258.0,4.1,سوق, · يغلق عند الساعة ١٠ م
Arafa market,كركوك، كركوك محافظة,,,8.0,4.8,سوق,
بوليفارد كركوك,C9VJ+Q59، كركوك، كركوك محافظة,m.facebook.com,,589.0,4.0,مركز تسوق, · يغلق عند الساعة ١٢ ص
سوق القورية القديم,"F9CJ+FM7, Kirkuk, Kirkuk Governorate",,,44.0,4.2,مركز تسوق, · يغلق عند الساعة ١٠ م
سوق أحمد اغاااا,F99M+Q4W، Atles Caddesi، كركوك، كركوك محافظة,,,96.0,4.1,سوق,
سوق شورجة,"FC65+8RV, Kirkuk, Kirkuk Governorate",,,86.0,4.2,سوق,
Hafta Bazar السوق الاسبوعي,"GC44+MC8, Kirkuk Ring Rd, Kirkuk, Kirkuk Governorate",,,225.0,4.2,مركز تسوق, · يغلق عند الساعة ١٠ م
Sultan Market اسواق سوڵتان,"F9HC+R5W Filaq, Kirkuk, Kirkuk Governorate",,,2.0,3.0,سوبرماركت,
Prime Store,"Frya Mall 2nd Floor, Al-Jumhurya Street, Kirkuk, Kirkuk Governorate, 66001",,0780 071 5145,34,4.9,متجر أجهزة إلكترونية, · يغلق عند الساعة ٧ م
بوليفارد كركوك,C9VJ+Q59، كركوك، كركوك محافظة,m.facebook.com,,589,4.0,مركز تسوق, · يغلق عند الساعة ١٢ ص
Miniso Kirkuk,F95J+3MP، كركوك، كركوك محافظة,facebook.com,,24,4.6,سوق,
Store kirkuk,"F9FP+87J, Kirkuk, Kirkuk Governorate",,0770 129 5796,1,5.0,متجر هواتف جوالة, · يغلق عند الساعة ٨ م
دريم ستور,F94P+83X، كركوك، كركوك محافظة,,,35,3.9,سوبرماركت,
سوق العصري صياغة لارسا,"شارع اطلس, Sheikh Cholee St، Kirkuk, Kirkuk Governorate",,0771 728 0108,224,3.9,متجر مجوهرات, · يغلق عند الساعة ١٢:٣٠ م
Master Store Kirkuk -Apple Premium Reseller & Authorised Service Provider,kirkuk mall، كركوك، كركوك محافظة، 36001,masterstoreiq.com,0772 618 0662,6,4.3,متجر إصلاح هواتف الجوّال, · يغلق عند الساعة ١ ص
Xiaomi Store,شارع محافظة، كركوك، 1، 36001,m.facebook.com,0770 488 5668,11,4.5,متجر, · يغلق عند الساعة ١٢ ص
ماکسي مول,F95J+9HM، طريق بغداد، كركوك، كركوك محافظة,paulmark.com.tr,0771 691 0226,158,3.8,متجر الملابس, · يغلق عند الساعة ١١ م
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
المتوكل للتسوق المنزلي فرع شارع الاحتفالات,C9H7+5MR، كركوك، كركوك محافظة,,,243,4.0,سوبرماركت, · يغلق عند الساعة ١٠ م
مریشک فرۆشی چێنەر قایتەوەنی,"FC56+72J, Kirkuk, Kirkuk Governorate",facebook.com,,1,5.0,متجر, · يغلق عند الساعة ٧:٣٠ م
OudElite,العراق - كركوك - شارع المحافظه F95J+4J كركوك،، كركوك,oudelite.com,+966 800 122 0066,75,3.9,متجر عطور,
غازي مول للتسوق,F95J+HF4، F95J+FPC كركوك مرحبا، كركوك، كركوك محافظة,facebook.com,,997,3.6,مركز تسوق, · يفتح عند الساعة ٣ م
عالم التراكسوت,"Abu Hanifa Binasi, Kirkuk, Kirkuk Governorate",,,2,4.0,متجر ملابس,
ankido انكيدو,C9PH+F5G، طريق بغداد، كركوك، كركوك محافظة,ankidouomo.com,,13,4.7,متجر ملابس رجالي, · يغلق عند الساعة ١١ م
Zühre Kerkük,"F9JJ+485, Kirkuk, Kirkuk Governorate",,0770 937 3475,5,5.0,متجر ملابس, · يغلق عند الساعة ١٠ م
معرض عبدالخالق,شارع الجمهورية، كركوك، كركوك محافظة,facebook.com,0770 167 2025,6,4.5,متجر أجهزة إلكترونية, · يغلق عند الساعة ٧:٣٠ م
IBOOK Store,Mall of، شارع محافظة، كركوك، كركوك محافظة,,0772 374 6916,8,4.3,متجر كتب, · يغلق عند الساعة ١٢ ص
IBOOK Store,Mall of، شارع محافظة، كركوك، كركوك محافظة,,0772 374 6916,2,4.0,متجر كتب, · يغلق عند الساعة ٩ م
Prime Store,"Frya Mall 2nd Floor, Al-Jumhurya Street, Kirkuk, Kirkuk Governorate, 66001",,0780 071 5145,34.0,4.9,متجر أجهزة إلكترونية, · يغلق عند الساعة ٧ م
Ardunic Kirkuk,شارع الجمهورية، كركوك، كركوك محافظة,facebook.com,0770 232 3884,14.0,4.6,متجر أجهزة إلكترونية, · يغلق عند الساعة ٩ م
ورشه بلال ومحمد للبرمجة,"C9J3+47R, Unnamed Road, كركوك، كركوك محافظة",bilalgh.cdhost.com,0770 151 0072,17.0,4.5,متجر أجهزة إلكترونية, · يغلق عند الساعة ٦ م
معرض ريكوت,CCHG+2Q2، Unnamed Road، كركوك، كركوك محافظة,,,7.0,4.0,متجر أجهزة إلكترونية, · يغلق عند الساعة ٩ م
Tech Mart,"Talary Aqary - تەلاری ئەقاری, Salim Street, Sulaymaniyah, Sulaymaniyah Governorate, 46002",techmart.krd,0770 030 0355,15.0,5.0,متجر أجهزة إلكترونية,
الكترونيات كركوك,F9FQ+J5W، شارع الجمهورية، كركوك، كركوك محافظة,,,16.0,4.1,متجر أجهزة إلكترونية, · يفتح عند الساعة ٣ م
جبال زون - كركوك,شارع الجمهورية، كركوك، كركوك محافظة,jibalzone.com,0780 926 8620,34.0,4.0,متجر أجهزة إلكترونية, · يغلق عند الساعة ٦ م
مكتب دشتي للالعاب الالكترونية,F9GQ+6HG، شارع الجمهورية، كركوك، كركوك محافظة,,0770 233 8274,46.0,4.0,متجر أجهزة إلكترونية, · يغلق عند الساعة ٨ م
عالم الالكترونيات,"F9FP+33M, Komari St, Kirkuk, Kirkuk Governorate",,,2.0,3.0,متجر أجهزة إلكترونية,
Master Store Kirkuk -Apple Premium Reseller & Authorised Service Provider,kirkuk mall، كركوك، كركوك محافظة، 36001,masterstoreiq.com,0772 618 0662,6.0,4.3,متجر إصلاح هواتف الجوّال, · يغلق عند الساعة ١ ص
معرض عبدالخالق,شارع الجمهورية، كركوك، كركوك محافظة,facebook.com,0770 167 2025,6.0,4.5,متجر أجهزة إلكترونية, · يغلق عند الساعة ٧:٣٠ م
محل ملا شاكر,"دائرة الكهرباء القديم, Kirkuk, 36000",,0770 660 4947,7.0,4.4,متجر أجهزة إلكترونية,مفتوح · يغلق عند الساعة ٧ م
كركوك فيلق,F9H7+W63، كركوك، كركوك محافظة,,,,,متجر أجهزة إلكترونية, · يغلق عند الساعة ٧ م
المركز للتجارة العامة والمواد الكهربائية,F9FR+X3X، كركوك، كركوك محافظة,,,1.0,5.0,متجر أجهزة إلكترونية,
شركة عيناي لتجارة قطع غيار الهواتف النقاله وصيانتها,شارع اطلس، كركوك، كركوك محافظة، 36001,aynay.com.iq,0770 505 0650,32.0,3.5,متجر أجهزة إلكترونية,مفتوح · يغلق عند الساعة ٩ م
عالم التقنية,"F98H+MX2, Kirkuk, Kirkuk Governorate",,0770 230 3080,,,متجر أجهزة إلكترونية, · يغلق عند الساعة ١١ م
الكترونيات حسام الصراف,F9CP+J2P، شارع الجمهورية، كركوك، كركوك محافظة,,0770 131 6508,13.0,4.5,متجر أجهزة إلكترونية, · يغلق عند الساعة ٦ م
CHRANI COMPANY - Kirkuk Branch,"F9GQ+C86, Kirkuk, Kirkuk Governorate",chranico.com,0751 170 4515,,,متجر أجهزة إلكترونية, · يغلق عند الساعة ٦ م
شركة وادي الرواشد فرع كركوك,jumhuria street، كركوك، كركوك محافظة,wadi-iq.com,0770 130 0690,2.0,5.0,متجر أجهزة إلكترونية, · يغلق عند الساعة ٥ م
جيكرز كركوك,F9RW+665، Unnamed Road، كركوك,,0772 260 2525,31.0,3.8,متجر أجهزة إلكترونية, · يغلق عند الساعة ١٠ م
بوليفارد كركوك,C9VJ+Q59، كركوك، كركوك محافظة,m.facebook.com,,589,4.0,مركز تسوق, · يغلق عند الساعة ١٢ ص
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
Shopping Shop,"Bahu Street, Kirkuk, Kirkuk Governorate",shoppingshop.com,0772 334 1881,1,5.0,متجر ملابس, · يغلق عند الساعة ١١ م
Prime Store,"Frya Mall 2nd Floor, Al-Jumhurya Street, Kirkuk, Kirkuk Governorate, 66001",,0780 071 5145,34,4.9,متجر أجهزة إلكترونية, · يغلق عند الساعة ٧ م
